chat_id,company,sender,message,intent,sentiment,response_time_sec,resolved,language,response_suggestion,similar_chat_id
59,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Complaint,Positive,272,No,English,Suggested response for complaint.,27
60,Samsung,Customer,This is a feedback message from a customer regarding Samsung.,Inquiry,Neutral,64,No,English,Suggested response for inquiry.,82
61,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Complaint,Negative,152,Yes,English,Suggested response for complaint.,53
62,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Inquiry,Neutral,80,No,Spanish,Suggested response for inquiry.,122
63,Apple,Customer,This is a feedback message from a customer regarding Apple.,Inquiry,Negative,293,Yes,French,Suggested response for inquiry.,125
64,Google,Customer,This is a feedback message from a customer regarding Google.,Inquiry,Neutral,86,Yes,English,Suggested response for inquiry.,105
65,Facebook,Customer,This is a inquiry message from a customer regarding Facebook.,Complaint,Positive,275,Yes,French,Suggested response for complaint.,29
66,Amazon,Customer,This is a inquiry message from a customer regarding Amazon.,Inquiry,Neutral,213,No,Spanish,Suggested response for inquiry.,134
67,Microsoft,Customer,This is a complaint message from a customer regarding Microsoft.,Feedback,Positive,160,Yes,French,Suggested response for feedback.,47
68,Netflix,Customer,This is a complaint message from a customer regarding Netflix.,Feedback,Positive,227,Yes,Spanish,Suggested response for feedback.,67
69,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Inquiry,Positive,5,No,French,Suggested response for inquiry.,6
70,Apple,Customer,This is a inquiry message from a customer regarding Apple.,Inquiry,Positive,167,No,French,Suggested response for inquiry.,139
71,Google,Customer,This is a complaint message from a customer regarding Google.,Inquiry,Positive,183,Yes,French,Suggested response for inquiry.,116
72,Apple,Customer,This is a inquiry message from a customer regarding Apple.,Complaint,Neutral,186,Yes,Spanish,Suggested response for complaint.,130
73,Tesla,Customer,This is a complaint message from a customer regarding Tesla.,Inquiry,Neutral,288,No,French,Suggested response for inquiry.,50
74,Adobe,Customer,This is a inquiry message from a customer regarding Adobe.,Complaint,Positive,146,Yes,Spanish,Suggested response for complaint.,65
75,Google,Customer,This is a inquiry message from a customer regarding Google.,Complaint,Neutral,213,No,English,Suggested response for complaint.,127
76,Adobe,Customer,This is a complaint message from a customer regarding Adobe.,Complaint,Neutral,80,No,English,Suggested response for complaint.,106
77,Netflix,Customer,This is a inquiry message from a customer regarding Netflix.,Complaint,Neutral,182,No,English,Suggested response for complaint.,128
78,Tesla,Customer,This is a feedback message from a customer regarding Tesla.,Inquiry,Neutral,71,Yes,Spanish,Suggested response for inquiry.,108
79,Microsoft,Customer,This is a inquiry message from a customer regarding Microsoft.,Complaint,Neutral,236,Yes,Spanish,Suggested response for complaint.,69
80,Microsoft,Customer,This is a feedback message from a customer regarding Microsoft.,Complaint,Neutral,248,No,English,Suggested response for complaint.,77
81,Facebook,Customer,This is a complaint message from a customer regarding Facebook.,Inquiry,Neutral,209,Yes,French,Suggested response for inquiry.,44
82,Microsoft,Customer,This is a complaint message from a customer regarding Microsoft.,Complaint,Negative,134,No,English,Suggested response for complaint.,43
83,Apple,Customer,This is a inquiry message from a customer regarding Apple.,Inquiry,Neutral,147,No,Spanish,Suggested response for inquiry.,133
84,Apple,Customer,This is a complaint message from a customer regarding Apple.,Inquiry,Neutral,239,No,Spanish,Suggested response for inquiry.,63
85,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Complaint,Negative,290,No,English,Suggested response for complaint.,87
86,Microsoft,Customer,This is a complaint message from a customer regarding Microsoft.,Complaint,Negative,205,No,French,Suggested response for complaint.,49
87,Microsoft,Customer,This is a feedback message from a customer regarding Microsoft.,Complaint,Neutral,76,Yes,English,Suggested response for complaint.,67
88,Samsung,Customer,This is a complaint message from a customer regarding Samsung.,Complaint,Positive,100,No,Spanish,Suggested response for complaint.,42
89,Apple,Customer,This is a complaint message from a customer regarding Apple.,Complaint,Positive,66,No,English,Suggested response for complaint.,6
90,Tesla,Customer,This is a complaint message from a customer regarding Tesla.,Feedback,Negative,168,Yes,English,Suggested response for feedback.,138
91,Samsung,Customer,This is a complaint message from a customer regarding Samsung.,Feedback,Neutral,45,Yes,English,Suggested response for feedback.,79
92,Google,Customer,This is a complaint message from a customer regarding Google.,Feedback,Positive,152,Yes,French,Suggested response for feedback.,83
93,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Inquiry,Positive,278,No,Spanish,Suggested response for inquiry.,70
94,Apple,Customer,This is a complaint message from a customer regarding Apple.,Complaint,Negative,138,No,French,Suggested response for complaint.,110
95,Adobe,Customer,This is a complaint message from a customer regarding Adobe.,Inquiry,Positive,52,Yes,English,Suggested response for inquiry.,55
96,Netflix,Customer,This is a feedback message from a customer regarding Netflix.,Feedback,Negative,197,Yes,English,Suggested response for feedback.,41
97,Microsoft,Customer,This is a inquiry message from a customer regarding Microsoft.,Inquiry,Positive,290,Yes,English,Suggested response for inquiry.,117
98,Google,Customer,This is a complaint message from a customer regarding Google.,Inquiry,Positive,228,Yes,English,Suggested response for inquiry.,46
99,Apple,Customer,This is a complaint message from a customer regarding Apple.,Feedback,Positive,177,No,Spanish,Suggested response for feedback.,121
100,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Feedback,Negative,299,Yes,Spanish,Suggested response for feedback.,147
101,Netflix,Customer,This is a feedback message from a customer regarding Netflix.,Complaint,Negative,275,No,Spanish,Suggested response for complaint.,69
102,Netflix,Customer,This is a feedback message from a customer regarding Netflix.,Complaint,Positive,253,Yes,English,Suggested response for complaint.,41
103,Apple,Customer,This is a complaint message from a customer regarding Apple.,Feedback,Positive,103,Yes,English,Suggested response for feedback.,87
104,Spotify,Customer,This is a inquiry message from a customer regarding Spotify.,Complaint,Neutral,251,Yes,French,Suggested response for complaint.,66
105,Apple,Customer,This is a inquiry message from a customer regarding Apple.,Complaint,Neutral,271,No,Spanish,Suggested response for complaint.,136
106,Adobe,Customer,This is a complaint message from a customer regarding Adobe.,Inquiry,Neutral,105,No,English,Suggested response for inquiry.,99
107,Spotify,Customer,This is a inquiry message from a customer regarding Spotify.,Feedback,Negative,294,Yes,French,Suggested response for feedback.,37
108,Tesla,Customer,This is a feedback message from a customer regarding Tesla.,Feedback,Neutral,124,Yes,Spanish,Suggested response for feedback.,65
109,Apple,Customer,This is a feedback message from a customer regarding Apple.,Feedback,Neutral,32,No,French,Suggested response for feedback.,48
110,Adobe,Customer,This is a complaint message from a customer regarding Adobe.,Complaint,Negative,224,Yes,Spanish,Suggested response for complaint.,144
111,Spotify,Customer,This is a inquiry message from a customer regarding Spotify.,Feedback,Positive,69,No,Spanish,Suggested response for feedback.,17
112,Amazon,Customer,This is a feedback message from a customer regarding Amazon.,Complaint,Neutral,260,No,Spanish,Suggested response for complaint.,30
113,Apple,Customer,This is a complaint message from a customer regarding Apple.,Complaint,Neutral,76,Yes,English,Suggested response for complaint.,139
114,Apple,Customer,This is a feedback message from a customer regarding Apple.,Complaint,Positive,158,No,English,Suggested response for complaint.,19
115,Google,Customer,This is a complaint message from a customer regarding Google.,Complaint,Neutral,22,No,French,Suggested response for complaint.,73
116,Amazon,Customer,This is a complaint message from a customer regarding Amazon.,Feedback,Neutral,261,Yes,English,Suggested response for feedback.,78
117,Adobe,Customer,This is a feedback message from a customer regarding Adobe.,Inquiry,Negative,122,No,English,Suggested response for inquiry.,121
118,Microsoft,Customer,This is a complaint message from a customer regarding Microsoft.,Feedback,Positive,93,Yes,French,Suggested response for feedback.,20
119,Google,Customer,This is a complaint message from a customer regarding Google.,Complaint,Neutral,291,No,Spanish,Suggested response for complaint.,34
120,Google,Customer,This is a complaint message from a customer regarding Google.,Complaint,Negative,11,No,English,Suggested response for complaint.,101
121,Facebook,Customer,This is a feedback message from a customer regarding Facebook.,Inquiry,Negative,114,Yes,Spanish,Suggested response for inquiry.,32
122,Amazon,Customer,This is a inquiry message from a customer regarding Amazon.,Inquiry,Negative,210,No,French,Suggested response for inquiry.,8
123,Adobe,Customer,This is a inquiry message from a customer regarding Adobe.,Complaint,Negative,151,No,Spanish,Suggested response for complaint.,146
124,Adobe,Customer,This is a complaint message from a customer regarding Adobe.,Feedback,Negative,203,Yes,English,Suggested response for feedback.,116
125,Amazon,Customer,This is a inquiry message from a customer regarding Amazon.,Inquiry,Positive,246,Yes,French,Suggested response for inquiry.,128
126,Google,Customer,This is a inquiry message from a customer regarding Google.,Complaint,Neutral,37,No,English,Suggested response for complaint.,114
127,Netflix,Customer,This is a feedback message from a customer regarding Netflix.,Inquiry,Positive,77,Yes,English,Suggested response for inquiry.,24
128,Spotify,Customer,This is a feedback message from a customer regarding Spotify.,Complaint,Neutral,293,No,English,Suggested response for complaint.,118
129,Amazon,Customer,This is a complaint message from a customer regarding Amazon.,Complaint,Neutral,132,No,French,Suggested response for complaint.,63
130,Adobe,Customer,This is a feedback message from a customer regarding Adobe.,Feedback,Positive,20,Yes,English,Suggested response for feedback.,81
131,Adobe,Customer,This is a inquiry message from a customer regarding Adobe.,Complaint,Negative,295,No,Spanish,Suggested response for complaint.,55
132,Microsoft,Customer,This is a inquiry message from a customer regarding Microsoft.,Complaint,Positive,55,No,Spanish,Suggested response for complaint.,150
133,Facebook,Customer,This is a inquiry message from a customer regarding Facebook.,Complaint,Positive,107,No,English,Suggested response for complaint.,32
134,Facebook,Customer,This is a complaint message from a customer regarding Facebook.,Feedback,Neutral,275,Yes,English,Suggested response for feedback.,120
135,Samsung,Customer,This is a complaint message from a customer regarding Samsung.,Inquiry,Negative,82,Yes,Spanish,Suggested response for inquiry.,71
136,Amazon,Customer,This is a feedback message from a customer regarding Amazon.,Complaint,Positive,247,No,Spanish,Suggested response for complaint.,16
137,Spotify,Customer,This is a feedback message from a customer regarding Spotify.,Feedback,Negative,268,Yes,Spanish,Suggested response for feedback.,21
138,Facebook,Customer,This is a inquiry message from a customer regarding Facebook.,Inquiry,Negative,189,No,French,Suggested response for inquiry.,63
139,Netflix,Customer,This is a inquiry message from a customer regarding Netflix.,Feedback,Positive,173,Yes,French,Suggested response for feedback.,56
140,Facebook,Customer,This is a feedback message from a customer regarding Facebook.,Complaint,Neutral,206,Yes,Spanish,Suggested response for complaint.,18
141,Amazon,Customer,This is a complaint message from a customer regarding Amazon.,Complaint,Positive,100,No,English,Suggested response for complaint.,56
142,Netflix,Customer,This is a complaint message from a customer regarding Netflix.,Complaint,Neutral,280,Yes,English,Suggested response for complaint.,40
143,Amazon,Customer,This is a feedback message from a customer regarding Amazon.,Complaint,Neutral,5,Yes,English,Suggested response for complaint.,44
144,Facebook,Customer,This is a inquiry message from a customer regarding Facebook.,Inquiry,Neutral,277,Yes,Spanish,Suggested response for inquiry.,5
145,Adobe,Customer,This is a inquiry message from a customer regarding Adobe.,Complaint,Neutral,172,No,French,Suggested response for complaint.,18
146,Microsoft,Customer,This is a complaint message from a customer regarding Microsoft.,Inquiry,Neutral,28,No,Spanish,Suggested response for inquiry.,81
147,Google,Customer,This is a feedback message from a customer regarding Google.,Complaint,Positive,31,No,Spanish,Suggested response for complaint.,80
148,Facebook,Customer,This is a feedback message from a customer regarding Facebook.,Feedback,Positive,276,Yes,Spanish,Suggested response for feedback.,107
149,Samsung,Customer,This is a inquiry message from a customer regarding Samsung.,Feedback,Negative,63,Yes,English,Suggested response for feedback.,126
150,Facebook,Customer,This is a feedback message from a customer regarding Facebook.,Feedback,Negative,136,Yes,Spanish,Suggested response for feedback.,84
